Gene Description,Gene Accession Number,39,call,40,call,41,call,42,call,43,call,44,call,45,call,46,call,47,call,48,call,49,call,50,call,51,call,52,call,53,call,54,call,55,call,56,call,57,call,58,call,59,call,60,call,61,call,62,call,63,call,64,call,65,call,66,call,67,call,68,call,69,call,70,call,71,call,72,call
APOPTOSIS REGULATOR BCL-X,Z23115_at,581,P,430,P,300,P,2409,P,1396,P,468,P,370,P,489,P,481,P,590,P,809,P,647,P,820,P,170,M,842,P,414,A,219,P,648,P,343,P,340,P,366,P,295,P,580,P,581,A,627,P,764,M,206,M,347,P,410,P,453,P,504,P,485,P,271,P,371,P
Exon2A from  H.sapiens MTCP1 gene; exons 2A to 7 (and joined mRNA)./ntype=DNA /annot=exon,Z24459_xpt5_at,41,A,-102,A,3,A,-44,A,21,A,-72,A,-109,A,-15,A,60,A,11,A,143,A,-29,A,2,A,-57,A,-28,A,42,A,-7,A,-162,A,-19,A,-3,A,-33,A,-4,A,-13,A,-108,A,-12,A,-168,A,-17,A,-56,A,20,A,80,A,102,A,-86,A,-17,A,30,A
Garp gene mRNA,Z24680_at,195,A,513,A,115,A,400,P,57,M,143,A,104,P,34,A,29,A,171,P,477,P,229,P,333,A,53,A,89,P,144,A,219,A,381,P,123,A,287,A,76,A,19,A,333,A,284,A,364,A,1035,P,132,A,199,P,43,A,114,A,259,P,128,A,42,P,381,P
PolyA site DNA,Z24724_at,-60,A,58,A,153,P,20,A,96,A,7,A,37,A,47,A,226,P,286,P,-55,A,81,A,193,P,24,P,855,P,159,A,4,A,-25,A,3,A,21,A,-12,A,49,A,-13,A,41,A,139,P,62,A,107,A,141,P,83,A,119,P,159,P,-9,A,86,A,95,P
Mitogen inducible gene mig-2,Z24725_at,106,A,140,P,42,A,121,A,110,P,57,A,38,A,66,A,180,A,114,P,89,A,62,A,26,A,26,A,136,P,-31,A,109,A,100,A,72,A,194,A,30,A,44,A,114,P,57,P,92,A,168,A,81,A,36,A,66,A,68,P,36,A,47,P,61,A,186,P
TPM1 Tropomyosin alpha chain (skeletal muscle),Z24727_at,70,A,174,A,14,A,316,P,218,A,-17,A,47,A,20,A,157,M,227,P,237,A,107,P,170,P,227,P,210,P,286,P,174,A,159,A,131,A,324,P,43,A,185,P,249,P,236,A,262,P,149,A,198,A,360,P,168,P,147,P,69,A,68,A,60,A,167,P
Nuclear pore complex protein hnup153,Z25535_at,33,A,260,P,234,A,620,P,305,P,111,A,87,P,96,P,502,P,971,P,111,A,208,P,227,A,84,P,642,P,96,A,169,P,267,P,53,A,74,A,157,A,84,A,316,P,166,P,214,P,504,P,152,P,234,P,580,P,229,P,268,P,71,M,300,P,703,P
Ribosomal protein S7,Z25749_rna1_at,5636,P,6920,P,8882,P,5274,P,7319,P,7824,P,9031,P,5625,P,6564,P,9698,P,6610,P,12355,P,7490,P,10671,P,8146,P,7473,P,8091,P,6064,P,8009,P,3780,P,5078,P,8019,P,6562,P,5662,P,8027,P,3993,P,10216,P,11671,P,6748,P,10188,P,12112,P,8050,P,8152,P,7238,P
GB DEF = ClC-1 muscle chloride channel protein,Z25884_at,388,A,923,P,385,A,417,P,721,A,441,A,393,A,537,A,205,A,523,P,871,M,675,P,754,A,432,P,649,P,363,P,526,P,733,P,169,A,491,A,665,P,406,A,587,P,639,P,915,A,1271,P,671,P,391,P,327,A,368,A,108,A,598,P,368,A,329,A
GB DEF = Isoform 1 gene for L-type calcium channel; exon 1,Z26256_at,-576,A,219,A,-72,A,-525,A,16,A,-100,A,-290,A,10,A,-161,A,153,A,-561,A,-256,A,-321,A,-194,A,221,A,163,A,-229,A,-20,A,-206,A,154,A,-332,A,-33,A,175,A,-644,A,-53,A,67,A,-277,A,-4,A,-261,A,-179,A,-102,A,-126,A,-265,A,-41,A
DSG2 Desmoglein 2,Z26317_at,-200,A,80,A,-90,A,67,A,-129,A,-155,A,34,A,-60,A,-37,A,-151,A,-233,A,-366,A,42,A,187,A,278,A,-88,A,-192,A,-373,A,-349,A,-228,A,61,A,-114,A,-201,A,57,A,-5,A,273,A,46,A,23,A,103,A,70,A,-57,A,-134,A,-169,A,-123,A
ANK2 Ankyrin 2 (neuronal),Z26634_at,125,A,-207,A,20,A,-31,A,-9,A,-59,A,61,A,72,A,8,A,31,A,61,A,62,A,-16,A,32,A,107,A,15,A,44,A,100,A,-5,A,-6,A,86,A,0,A,15,A,-25,A,75,A,-151,A,0,A,89,A,31,A,34,A,52,A,-40,A,49,A,95,A
LAMA2 Laminin; alpha 2 (merosin; congenital muscular dystrophy),Z26653_at,-214,A,-13,A,-9,A,-5,A,45,A,-56,A,14,A,-38,A,-12,A,-43,A,-263,A,-189,A,-86,A,-165,A,-223,A,-73,A,-104,A,23,A,-5,A,9,A,-61,A,44,A,-69,A,-16,A,-88,A,-314,A,29,A,-6,A,-6,A,-50,A,-34,A,-173,A,73,A,-117,A
LTBP1 Latent transforming growth factor beta binding protein 1,Z26876_at,12675,P,18102,P,17095,P,10827,P,17977,P,13978,P,12779,P,18019,P,7625,P,16527,P,11002,P,13838,P,15747,P,18501,P,16338,P,15166,P,13960,P,9306,P,14926,P,12388,P,20258,P,16601,P,11866,P,14709,P,14386,P,15642,P,17568,P,20708,P,11860,P,14827,P,15349,P,19096,P,17232,P,14337,P
DNA-DIRECTED RNA POLYMERASE II 14.4 KD POLYPEPTIDE,Z27113_at,753,M,632,P,1050,P,662,M,961,P,1140,P,1213,P,830,P,1092,P,2065,P,1834,P,995,A,1257,P,1711,P,763,P,1282,P,1220,P,1205,P,801,P,1050,A,790,P,872,P,782,P,1019,P,1008,P,409,A,843,P,1975,P,554,P,1522,P,1304,P,846,P,712,P,647,P
Delta 4-3-oxosteroid 5 beta-reductase,Z28339_at,4,A,49,A,-12,A,58,A,48,A,7,A,-49,A,-23,A,-2,A,59,A,72,A,95,A,114,P,41,A,102,A,71,A,-34,A,54,A,80,A,132,A,7,A,23,A,47,A,127,P,91,A,2,A,46,A,19,A,27,A,26,A,59,A,41,A,7,A,57,A
RPL8 Ribosomal protein L8,Z28407_at,10078,P,6605,P,13628,P,14149,P,12766,P,12469,P,22412,P,12554,P,8506,P,12515,P,9543,P,13143,P,11654,P,17626,P,10557,P,20719,P,15398,P,14167,P,21009,P,12082,P,11171,P,20390,P,12861,P,8310,P,17494,P,5522,P,15132,P,12962,P,9087,P,14941,P,18221,P,12996,P,16627,P,11649,P
EPS15 Epidermal growth factor receptor pathway substrate 15,Z29064_at,142,A,149,P,480,P,521,P,374,P,352,P,365,P,239,P,229,A,841,P,109,M,522,P,561,P,282,P,745,P,224,A,129,P,149,P,334,P,77,A,180,P,274,P,175,P,356,P,345,P,309,P,170,A,241,P,820,P,877,P,781,P,300,A,249,P,186,P
Nek3 mRNA for protein kinase,Z29067_at,79,A,219,A,17,A,-117,A,-132,A,66,A,34,A,5,A,-52,A,27,A,85,A,185,A,122,A,53,A,221,A,194,A,-79,A,-18,A,133,A,40,A,20,A,61,A,71,A,254,A,212,A,233,A,162,A,110,A,62,A,5,A,-13,A,-21,A,0,A,51,A
KRT9 Keratin 9,Z29074_at,-366,A,-159,A,-231,A,-564,A,-228,A,-253,A,-155,A,-108,A,-140,A,-286,A,-467,A,-247,A,-285,A,-274,A,-351,A,-216,A,-217,A,-314,A,-155,A,-652,A,-302,A,-218,A,-617,A,-90,A,-448,A,-553,A,-289,A,-197,A,-183,A,-654,A,-420,A,-250,A,-263,A,-311,A
Un-named-transcript-1 from  H.sapiens cdc25 gene promoter region./ntype=DNA /annot=mRNA,Z29077_xpt1_at,113,A,120,A,92,A,37,A,100,A,-278,A,-131,A,103,A,73,A,184,A,2,A,256,A,124,A,178,A,235,A,-93,A,84,A,-82,A,-7,A,185,A,-139,A,153,A,-80,A,125,A,341,A,127,A,165,A,149,A,16,A,-14,A,153,A,89,A,-84,A,17,A
5T4 gene for 5T4 Oncofetal antigen,Z29083_at,-67,A,263,P,9,A,-8,A,19,A,-56,A,-77,A,44,A,111,A,-4,A,-21,A,82,A,16,A,-109,A,72,A,115,A,9,A,-92,A,-66,A,46,A,7,A,95,A,10,A,69,A,9,A,-100,A,0,A,49,A,-40,A,133,A,-9,A,66,A,-15,A,-19,A
PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT; ALPHA ISOFORM,Z29090_at,60,A,90,A,172,P,156,P,146,A,53,A,68,A,83,A,216,M,159,P,61,A,137,A,90,A,-16,A,395,P,157,A,-9,A,108,A,21,A,132,A,78,A,52,A,43,A,-57,A,155,A,227,A,118,A,132,P,466,P,194,A,196,P,72,P,420,P,447,P
UBE2H Ubiquitin-conjugating enzyme E2H (homologous to yeast UBC8),Z29331_at,-38,A,0,A,95,P,825,P,764,P,-35,A,-197,A,14,A,-18,A,95,A,11,A,-92,A,38,A,-214,A,-31,P,-7,A,-32,A,46,A,-25,A,-49,A,-38,A,-185,A,-108,A,-27,A,88,A,-422,A,10,A,82,P,234,P,222,P,151,P,55,A,119,P,251,P
3-HYDROXYANTHRANILATE 3;4-DIOXYGENASE,Z29481_at,538,A,595,A,273,A,490,A,538,A,447,A,344,A,368,M,355,A,341,A,683,A,717,A,701,M,252,A,452,A,508,A,411,A,350,A,402,A,469,A,470,A,551,A,290,A,850,A,675,A,1341,P,424,A,310,A,292,A,375,A,393,A,409,A,345,A,327,A
Alpha-CP1 mRNA,Z29505_at,1643,P,2286,P,2053,P,3177,P,1547,P,1285,P,1614,P,795,P,1691,P,3927,P,1672,P,2532,P,1564,P,2498,P,3154,P,2657,P,2109,P,1359,P,1517,P,1477,P,1176,P,1427,P,2494,P,2974,P,5167,P,1829,P,1685,P,1110,P,2672,P,4928,P,5714,P,1265,P,2791,P,3331,P
Antisense mRNA for BCMA peptide,Z29572_at,231,A,115,A,56,A,96,A,81,A,53,A,143,A,33,A,21,A,158,A,358,A,-37,A,-42,A,-12,A,99,A,6,A,169,A,231,A,-39,A,219,A,-83,A,-23,A,73,A,180,A,91,A,203,A,-9,A,19,A,36,A,104,A,132,A,38,A,5,A,245,A
BCMA B cell maturation factor,Z29574_at,82,A,90,A,114,M,161,A,14,A,100,A,12,A,89,A,229,A,31,A,172,A,23,A,0,A,107,A,-19,A,77,A,39,A,-2,A,53,A,95,A,162,A,-39,A,125,A,303,A,117,A,322,A,117,A,73,A,77,A,135,A,150,A,-27,A,144,A,47,A
MitF mRNA,Z29678_at,311,A,354,A,46,A,421,A,151,A,226,A,338,P,186,A,193,A,119,P,262,A,628,A,577,P,110,A,696,A,332,A,319,A,520,A,204,A,537,A,302,A,120,A,840,A,616,A,679,A,780,A,337,P,134,A,355,P,284,A,404,A,213,A,263,A,289,P
Orphan nuclear hormone receptor,Z30425_at,552,A,330,A,64,A,257,A,144,P,216,A,-31,A,189,A,39,A,592,A,814,A,375,A,374,A,122,A,133,A,492,A,439,A,687,A,365,A,528,A,421,A,133,A,381,A,741,A,789,A,639,A,60,A,91,A,138,A,482,A,508,A,173,A,555,A,493,A
CD69 CD69 antigen (early T cell activation antigen),Z30426_at,837,P,408,P,98,A,2622,P,1168,P,-48,A,663,P,436,P,1071,P,2183,P,289,A,414,P,251,P,41,A,94,A,90,A,0,A,100,A,-23,A,207,P,17,A,50,A,754,P,187,P,89,P,1171,P,416,P,241,P,1353,P,1149,P,2028,P,624,P,2319,P,918,P
CDO1 Cysteine dioxygenase; type 1,Z31357_at,494,A,440,A,302,A,443,P,314,A,143,A,93,A,291,A,275,A,551,A,907,A,625,A,526,P,289,A,732,A,314,A,347,A,726,A,263,A,624,A,521,A,382,A,606,P,660,A,813,P,498,A,157,A,328,P,464,A,358,A,402,P,354,A,430,A,337,A
XK mRNA for membrane transport protein,Z32684_at,31,A,-16,A,29,A,333,P,302,P,-59,A,-183,A,10,A,67,A,70,A,25,A,24,A,18,A,-9,A,1,A,138,P,-84,A,-74,A,29,A,12,A,33,A,-14,A,34,A,11,A,8,A,-29,A,23,A,358,P,-9,A,-23,A,-6,A,-27,A,-38,A,-9,A
GB DEF = CD36 gene exon 15,Z32765_at,1409,P,2100,P,1105,P,1939,P,2074,P,890,P,983,P,929,P,1422,P,1890,P,2205,P,1719,P,1715,P,1900,P,2692,P,1929,P,1063,P,1686,P,1136,P,1505,P,904,A,786,A,981,A,2819,P,3712,P,5731,P,1446,P,2473,P,1064,P,1330,P,1241,P,1299,P,1241,P,953,P
V7 mRNA for leukocyte surface protein,Z33642_at,7,A,-62,A,-54,A,-120,A,12,A,26,A,-20,A,66,A,96,A,48,A,200,A,100,A,108,A,233,A,-26,A,177,A,99,A,169,A,137,A,117,A,17,A,223,A,156,A,662,A,380,A,-73,A,52,A,65,A,47,A,101,A,144,A,9,A,104,A,-17,A
43kD acetylcholine receptor-associated protein (Rapsyn),Z33905_at,-115,A,-358,A,-275,A,-145,A,-444,A,-81,A,-300,A,-245,A,-235,A,-164,A,-169,A,-437,A,-223,A,-466,A,-445,A,-110,A,-94,A,-520,A,-53,A,-166,A,-706,A,-176,A,-106,A,-516,A,-499,A,-374,A,-280,A,-273,A,-196,A,-326,A,-127,A,-286,A,-16,A,-163,A
HRH1 Histamine receptor H1,Z34897_at,195,P,137,P,92,M,190,P,112,A,40,A,24,A,17,P,128,A,197,M,378,A,52,P,132,P,74,A,200,A,187,A,212,P,103,A,151,P,213,A,210,A,171,A,409,P,222,A,89,A,376,P,191,A,30,A,111,P,141,M,199,P,-20,A,121,P,250,P
Translation initiation factor eIF-4gamma (partial),Z34918_at,316,P,275,P,236,P,91,A,206,P,204,P,143,A,210,P,67,A,466,P,304,P,154,A,128,A,94,P,309,P,250,P,174,P,252,P,58,A,142,A,61,A,207,P,175,P,278,P,337,P,585,P,54,A,86,A,76,A,252,P,200,P,111,A,173,P,186,P
LDLC mRNA,Z34975_at,-82,A,-73,A,37,A,-40,A,14,A,-171,A,-52,A,33,M,12,A,102,A,-193,A,-77,A,-66,A,-189,A,-100,A,101,P,0,A,-41,A,-163,A,-123,A,-27,A,-25,A,-158,A,-48,A,-43,A,73,A,-128,A,86,A,5,A,162,M,175,A,-89,A,35,A,-70,A
SURF1 Surfeit 1,Z35093_at,475,P,609,P,922,P,497,P,834,P,570,P,342,P,616,P,886,P,1112,P,374,P,386,P,402,P,1612,P,581,P,918,P,771,P,370,P,334,A,1134,P,848,P,567,P,268,M,1079,P,797,P,1184,P,531,P,632,P,581,P,1036,P,616,P,558,P,788,P,642,P
Ndr protein kinase,Z35102_at,456,P,346,P,394,P,95,A,269,A,364,P,183,A,462,P,247,P,956,P,443,P,-47,A,297,P,91,A,122,P,138,A,369,P,321,P,184,A,389,A,536,P,106,P,312,A,414,P,237,P,403,P,141,A,156,M,98,A,779,P,735,P,86,A,317,P,297,P
TTF mRNA for small G protein,Z35227_at,900,P,266,P,439,P,637,P,560,P,345,P,602,P,231,P,353,P,1139,P,662,P,341,P,287,P,105,A,579,P,243,A,364,P,471,P,235,P,222,A,358,P,201,A,470,P,289,P,372,P,309,M,392,P,686,P,1463,P,530,P,1264,P,646,P,1697,P,934,P
PEBP2aC1 acute myeloid leukaemia mRNA,Z35278_at,36,A,-70,A,103,A,193,P,117,P,-17,A,37,A,30,A,-2,A,128,P,64,A,182,P,629,P,107,A,782,P,-74,A,-42,A,12,A,7,A,34,A,-40,A,-87,A,229,P,254,P,23,A,2,A,-19,A,428,P,3019,P,407,P,420,P,41,A,391,P,547,P
ECE1 Endothelin converting enzyme 1,Z35307_at,224,A,24,A,129,A,110,A,497,A,169,A,304,A,36,A,86,A,36,A,223,A,104,A,492,A,172,A,390,A,285,A,342,A,249,A,133,A,142,A,360,A,-474,A,58,A,354,A,151,A,100,A,64,A,189,A,158,A,54,A,59,A,133,A,144,A,47,A
ADCY8 Adenylate cyclase 8 (brain),Z35309_at,197,A,-215,A,0,A,-206,A,-435,A,-217,A,-291,A,5,A,21,A,-205,A,-321,A,-54,A,-4,A,-33,A,-289,A,-191,A,42,A,-110,A,-139,A,-204,A,-104,A,-217,A,-613,A,-222,A,-572,A,-222,A,60,A,-163,A,-201,A,-477,A,-122,A,-88,A,57,A,-198,A
Novel glucocorticoid receptor-associated protein,Z35491_at,127,A,124,A,489,P,481,P,26,A,155,P,210,P,154,P,166,A,193,P,8,A,163,A,142,A,311,P,212,M,269,A,187,A,172,A,74,A,207,A,167,A,171,A,426,P,178,A,275,A,159,A,100,A,215,P,359,P,786,A,319,P,232,P,202,A,251,A
FGL1 Fibrinogen-like 1,Z36531_at,183,P,155,P,73,A,106,A,163,P,80,P,98,P,23,A,187,P,108,A,131,P,203,P,122,P,814,P,113,P,194,A,89,A,159,A,204,P,494,P,76,A,147,P,67,P,1253,P,1621,P,252,P,339,P,99,P,185,P,177,P,58,P,105,A,102,P,117,P
CCNF Cyclin F,Z36714_at,-79,A,-446,A,386,P,-553,A,247,P,191,A,-213,A,51,A,149,M,148,A,-953,A,-510,A,-331,A,-121,A,-642,A,249,A,436,P,-337,A,-294,A,-500,A,106,A,-406,P,-1140,A,-284,A,-269,A,-791,A,-335,A,-89,A,-287,A,-765,A,-5,A,153,A,104,A,-133,A
GB DEF = Net transcription factor,Z36715_at,794,M,730,A,97,A,304,A,480,A,71,M,317,A,271,P,325,A,832,P,937,A,406,A,613,A,477,A,548,A,238,A,426,A,90,A,365,P,185,A,790,P,786,P,355,P,746,A,1439,A,1043,A,174,A,284,A,487,M,160,M,328,P,-108,A,272,P,647,P
BAT1 mRNA for nuclear RNA helicase (DEAD family),Z37166_at,3024,P,3387,P,3605,P,2625,P,1737,P,3277,P,2850,P,3061,P,3034,P,6920,P,2555,P,3941,P,3133,P,3270,P,7724,P,5275,P,4303,P,4462,P,2724,P,2151,P,5714,P,2834,P,2715,P,5439,P,5584,P,8385,P,3246,P,2316,P,3037,P,4774,P,4939,P,1460,P,2539,P,4539,P
LTBP2 Latent transforming growth factor beta binding protein 2,Z37976_at,195,P,136,A,48,A,82,A,84,A,106,A,13,A,63,A,321,P,108,A,381,P,114,A,205,A,144,A,143,A,4,A,274,A,198,A,90,A,374,P,30,A,50,A,231,P,189,A,348,P,569,M,74,A,58,A,24,A,58,A,121,P,-35,A,194,A,255,A
Phenylalkylamine binding protein,Z37986_at,1243,P,786,P,953,P,2156,P,997,P,1128,P,1837,P,1046,P,1040,P,1938,P,1673,A,1010,P,1114,P,983,P,1557,P,1111,P,1150,P,1264,P,858,P,942,P,1710,P,856,P,1174,P,1306,P,1071,P,1181,P,1146,P,1093,P,1061,P,1958,P,1885,P,939,P,1223,P,1314,P
CAP-18 protein,Z38026_at,-231,A,-469,A,81,A,344,A,4552,P,-388,A,-496,A,171,A,-58,A,-35,A,-143,A,-233,A,-327,A,-265,A,-161,A,-129,A,671,P,1174,A,-3,A,-182,A,1032,P,275,A,-212,A,-199,A,-154,A,-124,A,-206,A,-180,A,-58,A,302,A,48,A,-199,A,-95,A,107,A
HK2 mRNA for hexokinase II,Z46376_rna1_at,-251,A,92,A,1,A,-2,A,-9,A,-118,A,-268,A,-86,A,18,A,-136,A,-176,A,-8,A,26,A,-29,A,62,A,104,A,-62,A,-12,A,51,A,216,P,73,A,149,A,-73,A,53,A,44,A,178,A,-126,A,-4,A,264,P,228,P,157,A,26,A,-48,A,-85,A
SOX9 SRY (sex-determining region Y)-box 9 (campomelic dysplasia; autosomal sex-reversal),Z46629_at,-72,A,76,A,28,A,-37,A,-40,A,-69,A,-49,A,-25,A,-42,A,-9,A,35,A,-10,A,76,P,-13,A,49,A,-42,A,99,A,105,A,-21,A,15,A,25,A,88,A,-19,A,6,A,68,A,-8,A,-92,A,19,A,19,A,37,A,-6,A,1,A,40,A,74,P
Cylicin II,Z46788_at,202,A,-106,A,-56,A,-132,A,-74,A,-188,A,-49,A,-53,A,18,A,-10,A,-38,A,95,A,70,A,-69,A,-131,A,-84,A,-27,A,41,A,-37,A,117,A,-76,A,-72,A,-145,A,11,A,-164,A,-84,A,9,A,-108,A,-31,A,-18,A,-116,A,-89,A,-17,A,-41,A
GB DEF = Calicin (partial),Z46967_at,-183,A,-272,A,-61,A,197,A,225,A,-114,A,-100,A,-5,A,-31,A,-52,A,-350,A,75,A,249,A,-357,A,198,A,148,A,-42,A,23,A,-106,A,102,A,-35,A,-115,A,-225,A,-111,A,-313,A,-51,A,-187,A,-54,A,-8,A,-110,A,-69,A,-177,A,18,A,-113,A
Phosphatidylinositol 3-kinase,Z46973_at,188,P,61,A,173,P,70,A,124,P,403,P,94,A,125,P,94,A,295,P,79,A,87,P,70,P,-11,A,245,P,53,A,59,A,105,A,43,A,0,A,142,A,-6,A,-47,A,69,A,53,A,159,A,95,A,47,A,23,A,280,P,253,P,123,P,84,P,122,A
GB DEF = Partial cDNA sequence; clone x529; unknown open reading frame;,Z47043_at,-210,A,-80,A,-3,A,-102,A,-127,A,-83,A,-140,A,-40,A,65,A,-162,A,-193,A,-63,A,-52,A,-94,A,-177,A,-35,A,-62,A,-56,A,-66,A,24,A,-167,A,-68,A,-106,A,-139,A,-80,A,-108,A,-126,A,-115,A,-27,A,-80,A,-104,A,-30,A,-111,A,-135,A
TCEB1L Transcription elongation factor B (SIII); polypeptide 1-like ,Z47087_at,301,P,177,P,222,P,644,P,338,M,127,A,330,P,450,P,346,P,611,P,400,A,657,P,474,P,317,P,1069,P,438,P,344,P,522,P,180,A,404,P,231,P,199,P,307,P,240,P,441,P,469,P,330,P,654,P,888,P,490,P,818,P,317,P,554,P,889,P
FMO5 Flavin containing monooxygenase 5,Z47553_at,48,A,33,A,79,A,82,P,62,A,26,A,14,A,38,A,94,A,83,P,71,A,68,A,154,P,46,A,121,A,201,A,64,A,128,A,-29,A,262,P,43,A,107,A,110,A,104,A,107,A,100,A,87,A,60,A,83,P,19,A,118,A,57,A,89,A,159,A
RNA polymerase II subunit,Z47727_at,337,P,775,P,497,P,436,P,807,P,453,P,692,P,449,P,210,A,1310,P,457,P,767,P,486,P,237,P,868,P,467,P,411,P,386,P,422,P,126,A,396,P,461,P,268,P,252,P,675,P,428,A,261,P,556,P,331,P,793,P,1100,P,527,P,350,P,479,P
mRNA encoding GPI-anchored protein p137,Z48042_at,697,P,853,P,1152,P,1114,P,939,P,1483,P,1258,P,830,P,1775,P,1864,P,934,A,1475,P,1055,P,195,P,2591,P,868,P,1108,P,692,M,917,P,469,M,818,P,1552,P,1419,P,815,P,813,P,1328,P,556,P,765,P,1685,P,3495,P,3139,P,1010,P,1032,P,1007,P
Myelin oligodendrocyte glycoprotein (MOG),Z48051_rna1_at,161,A,112,A,61,A,70,A,120,A,-19,A,21,A,18,A,65,A,126,P,180,A,105,A,72,P,52,A,136,A,18,A,34,A,131,A,45,A,200,A,96,A,90,A,156,P,115,A,176,A,287,A,146,A,30,A,44,A,111,P,81,A,71,M,131,A,89,A
PXR1 Peroxisome receptor 1,Z48054_at,294,A,301,A,233,A,620,A,132,A,195,A,63,A,200,A,195,A,407,A,586,P,231,A,259,A,240,A,253,A,118,A,234,A,149,A,56,A,469,A,475,P,307,A,537,M,141,A,210,A,631,P,175,A,265,A,329,P,910,P,577,P,222,A,332,A,238,A
SDC1 Syndecan 1,Z48199_at,449,A,461,A,20,A,323,A,31,A,164,A,10,A,150,A,117,A,444,A,877,A,204,A,424,A,197,A,566,A,480,A,466,A,270,A,176,A,513,A,292,A,191,A,351,A,185,A,426,A,723,A,353,A,99,A,247,A,640,P,278,A,329,A,377,A,413,A
GCKR Glucokinase regulator,Z48475_at,-1694,A,-2020,A,-798,A,-2343,A,-1591,A,-861,A,-1370,A,-1003,A,-977,A,-2293,A,-3409,A,-2225,A,-1589,A,-1646,A,-2620,A,-2216,A,-1245,A,-1133,A,-1607,A,-2098,A,-1675,A,-1367,A,-2449,A,-1721,A,-1319,A,-3445,A,-2108,A,-1034,A,-1226,A,-1666,A,-1713,A,-1361,A,-1630,A,-1385,A
MT-MMP protein,Z48481_at,463,A,693,A,291,M,240,A,295,A,257,A,-133,A,170,A,174,A,644,A,1220,A,184,A,786,A,-14,A,857,A,414,A,344,A,633,A,192,A,574,A,406,A,471,A,734,A,671,A,540,A,149,A,643,A,343,A,347,A,134,A,258,A,232,A,146,A,506,A
GB DEF = XG mRNA (clone FB1),Z48510_at,-70,A,-43,A,-23,A,-69,A,-24,A,-105,A,-74,A,-41,A,39,A,-22,A,34,A,-13,A,-6,A,-42,A,-8,A,-56,A,32,A,-115,A,33,A,-12,A,71,A,-1,A,-49,A,64,P,-23,A,-46,A,-87,A,-32,A,-17,A,-53,A,-3,A,-17,A,-16,A,-62,A
GB DEF = XG mRNA (clone PEP11),Z48511_at,115,A,-13,A,56,A,85,A,69,A,-17,A,-98,A,70,A,60,A,59,A,255,A,39,A,86,A,32,A,133,A,193,A,54,A,113,A,102,A,284,A,210,P,52,A,82,A,57,A,164,A,233,A,42,A,97,P,42,A,76,A,93,A,44,A,140,P,135,A
GB DEF = XG mRNA (clone PEP6),Z48512_at,451,A,-39,A,148,A,326,A,233,A,117,A,12,A,121,A,121,A,249,A,381,A,209,A,162,A,-22,A,402,A,146,A,214,A,296,A,338,A,479,A,134,A,131,A,333,A,129,A,133,A,252,A,15,A,4,A,64,A,212,A,245,A,208,A,204,A,282,A
GB DEF = XG mRNA (clone RACE6),Z48520_at,-144,A,-77,A,-57,A,9,A,-100,A,-131,A,-240,A,-63,A,52,A,-46,A,-116,A,-62,A,-60,A,-53,A,-8,A,28,A,-32,A,-92,A,27,A,-132,A,-58,A,-34,A,2,A,34,A,-46,A,-154,A,-68,A,-43,A,-38,A,-33,A,-26,A,-75,A,-30,A,-58,A
Protein tyrosine phosphatase,Z48541_at,50,A,-13,A,-4,A,82,A,50,A,-97,A,-72,A,40,A,60,A,44,A,232,P,75,A,74,A,6,A,58,A,96,A,102,A,126,A,92,A,123,A,71,A,85,A,99,A,90,A,171,A,75,A,84,A,30,A,-2,A,88,M,100,P,0,A,59,A,146,P
Sp17 gene,Z48570_at,82,A,39,A,-12,A,62,A,-52,A,10,A,38,A,8,A,29,A,46,A,119,A,42,A,106,A,34,A,-1,A,-48,A,69,A,-5,A,17,A,105,A,-30,A,103,A,23,A,57,A,65,A,135,A,-5,A,39,A,-36,A,48,A,52,A,9,A,45,A,3,A
Disintegrin-metalloprotease (partial),Z48579_at,67,A,89,A,95,A,48,A,151,A,186,P,204,A,105,A,195,A,198,A,158,A,150,A,68,A,46,A,160,A,194,A,29,A,234,A,172,A,139,A,17,A,253,A,17,A,164,A,218,A,-8,A,185,A,32,A,104,A,409,P,456,P,68,A,216,P,98,A
GB DEF = Partial mRNA for pyrophosphatase,Z48605_at,84,A,-17,A,-4,A,116,A,-40,A,-1,A,13,A,0,A,52,A,66,A,109,A,11,A,100,A,34,A,39,A,120,A,49,A,108,A,7,A,58,A,-12,A,26,A,39,A,-16,A,79,A,-21,A,26,A,134,A,17,A,125,P,56,A,23,A,44,A,58,P
GB DEF = Retrotransposon,Z48633_at,166,P,692,P,424,P,134,A,317,P,48,A,2,A,459,P,224,P,563,P,519,P,326,P,273,P,-18,A,2267,P,93,A,44,A,154,A,47,A,58,A,-17,A,115,A,49,A,470,P,447,P,1596,P,113,A,197,P,917,P,168,A,170,P,131,P,89,P,287,P
mRNA (ocular albinism type 1 related),Z48804_at,-57,A,366,A,3,A,80,A,-124,A,-29,A,74,A,216,A,117,A,217,A,-505,A,-390,A,-74,A,-43,A,-20,A,-81,A,-192,A,-424,A,-308,A,-30,A,-20,A,28,A,-435,A,-259,A,-447,A,-403,A,83,A,19,A,-23,A,-6,A,145,A,-49,A,-23,A,-79,A
